(IP) Dra. Elena Moreno Pulido,Profesora del área de Arqueología. Universidad de Cádiz. https://orcid.org/0000-0003-0330-4491
Dra. Alicia Arévalo González,Catedrática de Arqueología. Universidad de Cádiz. Vocal de la Sociedad Iberoamericana de Estudios Numismáticos. https://orcid.org/0000-0001-8114-3385
Dr. Bartolomé Mora Serrano,Catedrático de Arqueología. Universidad de Málaga. https://orcid.org/0000-0002-0909-9225
Dr. Père Pau Ripollés Alegre,Catedrático de Arqueología. Universidad de Valencia. Vicepresidente del International Numismatics Council. https://orcid.org/0000-0001-9680-6911 
Dr. Manuel Gozalbes Fernández de Palencia,Museo de Prehistoria de Valencia. https://orcid.org/0000-0003-2974-097X 
Dr. Juan Manuel Dodero Beardo,Catedrático de Lenguajes y Sistemas Informáticos. Vicerrector de Transformación Para la Universidad Digital. Universidad de Cádiz. https://orcid.org/0000-0002-4105-5679
Dr. Manuel Palomo Duarte,Profesor Lenguajes y Sistemas Informáticos. Director de Secretariado de Conocimiento Abierto. Universidad de Cádiz. https://orcid.org/0000-0001-6002-0319
Dra. Soledad Moreno Pulido,Profesora del Departamento de Matemáticas en el área de Matemática Aplicada de la Escuela Superior de Ingeniería de la Universidad de Cádiz. https://orcid.org/0000-0002-4537-9929
Dr. Antonio Balderas Alberico,Profesor de Lenguajes y Sistemas Informáticos. Universidad de Cádiz. https://orcid.org/0000-0003-0026-7410 
Dr. Javier Bermejo Meléndez,Profesor de Arqueología. Universidad de Huelva. https://orcid.org/0000-0002-1905-8398
Dr. Alfredo Fernández Enríquez,Profesor de Análisis Geográfico Regional. Universidad de Cádiz. https://orcid.org/0000-0002-5468-0174 
Dra. Lucía Fernández Sutilo,Profesora de Arqueología. Universidad de Huelva. https://orcid.org/0000-0002-8586-497X 
Dra. Ruth Pliego Vázquez,Profesora Ayudante Doctora de Arqueología. Universidad de Sevilla. https://orcid.org/0000-0003-2125-3974
Dr. José Manuel Vargas Girón,Profesor del área de Arqueología de la Universidad de Cádiz. https://orcid.org/0000-0003-2882-8902
Dra. Macarena Lara Medina,Profesora del área de Arqueología de la Universidad de Cádiz. https://orcid.org/0000-0003-2574-7875 
Felipe Bergua Toledo,Ingeniero Técnico en Informática de Sistemas por la UNED. Técnico investigador del Área de Arqueología de la Universidad de Cádiz. https://orcid.org/0000-0001-6502-2591
Ana Rita García Cobeña,Investigadora Predoctoral. Universidad de Cádiz. https://orcid.org/0009-0002-1586-0567
Antonio Rodil Garrido,Ingeniero Informático. Grado Multimedia. Grado en Ingeniería de Telecomunicaciones. EPICSA (Diputación Provincial de Cádiz)
Alberto Contreras Puerto,Egresado del Grado de Ingenieria Informatica. Universidad de Cádiz
Charbel Boueri Martinez, Alumno de Grado de Ingenieria Informatica. Universidad de Cádiz
Esther Herraíz Galindo,Alumna de Máster Universitario en Patrimonio. Arqueología e Historia Marítima. Universidad de Cádiz.
Carmen Revuelta Gomez,Graduada en Historia. Universidad de Cádiz. Máster Universitario en Profesorado de Educación Secundaria Obligatoria y Bachillerato. Formación Profesional y Enseñanza de Idiomas. 
José Manuel Ruiz Cánevas,Alumno de Máster Universitario en Patrimonio. Arqueología e Historia Marítima. Universidad de Cádiz.
María Alcaide Ramírez,Grado de Arqueología Universidad de Sevilla. Máster en Gestión del Patrimonio desde el Municipio por la Universidad de Córdoba. Investigadora Predoctoral PIF FPI (Universidad de Sevilla).
Elena Jiménez Sánchez,Grado en Historia por la Universidad de Cádiz
Tomás de los Reyes Soto,Alumno del Grado de Estudios Ingleses.
Clara Cepero Martínez,Alumna del Máster en Ciencias del Lenguaje y sus Aplicaciones Graduada del Doble Grado de Estudios Ingleses y Lingüística y Lenguas Aplicadas.
Alicia Aguilar Ortega,Alumna del Grado de Historia de la Universidad de Cádiz. 
Maria Lopera Moreno,Alumna del Grado de Historia de la Universidad de Cádiz. 
Manuel Pablo Manzano Ortiz,Alumno del Grado de Historia de la Universidad de Cádiz.
Paula Otero Barrera,Alumna del Grado de Historia de la Universidad de Cádiz.
